care_pos,care_neg,care_group,god,ingroup_neg,ingroup_pos,authority,country,conservatism
safe,harm,women,god,enemy,together,trump,founding,gun
compassion,suffer,color,church,betray,nation,reagan,constitution,fiscal
empath,hurt,poc,commandment,treason,homeland,roosevelt,founder,spend
sympath,endanger,black,scripture,traitor,family,leader,fathers,debt
care,cruel,immigrant,religion,treacher,families,official,amendment,conservati
caring,abuse,lgbt,christian,disloyal,group,loyal,hamilton,limited
protect,damag,gay,jesus,individual,loyal,critici,washington,money
shield,ruin,lesbian,christ ,apostasy,patriot,support,madison,socialis
shelter,detriment,hispanic,moral,apostate,communit,oppose,jefferson,communis
amity,attack,asian,tradition,deserted,unite,president,franklin,preserv
secur,annihilate,poor,purity,deserter ,fellow,,nation,
benefit,destroy,average,pure,deserting,solidarity,,country,
defen,stomp,downtrodden,clean,deceiv,devot,,military,
guard,abondon,disadvantag,sacred,jilt,member,,national,
preserve,exploit,common,holy,imposter,ally,,pride,
,,minorit,holiness,spy,foreign,,patriotic,
,,divers,saint,renegade,,,,
,,,wholesome,,,,,
,,,integrity,,,,,
,,,sin,,,,,
,,,ethic,,,,,
,,,principle,,,,,
,,,doctrin,,,,,
,,,evil,,,,,
,,,righteous,,,,,